base,exponent,growth_value,iterative_ns,recursive_ns
1.0826,5,1487.0998,756.0,610.0
1.0457,48,8541.6385,3067.0,1040.0
1.0138,2,1027.7904,709.0,336.0
1.0514,5,1284.8128,755.0,614.0
1.0876,37,22354.2632,2470.0,1155.0
1.0486,26,3434.442,1893.0,1022.0
1.0739,27,6855.2571,2070.0,1165.0
1.0361,26,2514.453,1886.0,1065.0
1.0119,21,1282.0044,1626.0,1020.0
1.0255,40,2737.9568,2760.0,1028.0
1.0514,45,9540.2284,2884.0,1323.0
1.0928,6,1703.1156,803.0,614.0
1.0493,7,1400.5471,856.0,736.0
1.0319,38,3297.8377,2668.0,1162.0
1.046,6,1309.7551,803.0,611.0
1.0456,20,2439.5599,1596.0,895.0
1.0771,15,3046.775,1310.0,997.0
1.04,11,1539.4541,1078.0,1017.0
1.0169,41,1987.9623,2670.0,1180.0
1.0203,33,1940.9764,2259.0,1034.0
1.0275,50,3882.3218,3282.0,1188.0
1.0414,47,6730.1686,3033.0,1412.0
1.0962,42,47355.6176,2725.0,1300.0
1.0834,16,3602.6436,1920.0,753.0
1.0193,17,1383.9947,1403.0,904.0
1.0278,39,2913.6402,2562.0,1296.0
1.0238,49,3166.2203,3270.0,1210.0
1.069,12,2227.0628,1133.0,763.0
1.0956,41,42240.8809,3498.0,1189.0
1.0545,49,13467.3647,3110.0,1169.0
1.0607,38,9386.8011,2520.0,1312.0
1.0504,37,6167.7162,2484.0,1154.0
1.0679,40,13842.7846,2698.0,1032.0
1.0391,41,4818.9358,2798.0,1177.0
1.0385,29,2990.8079,2322.0,1177.0
1.0161,29,1589.1214,2090.0,1201.0
1.0668,18,3202.5368,1792.0,1048.0
1.0632,23,4093.9663,1893.0,1280.0
1.0557,20,2956.7216,1985.0,973.0
1.0516,3,1162.9251,856.0,767.0
1.0151,19,1329.4369,1619.0,1048.0
1.0169,6,1105.7819,819.0,616.0
1.0654,33,8089.4473,2869.0,1072.0
1.0446,38,5249.293,3134.0,1182.0
1.0599,48,16319.7997,3084.0,1133.0
1.0906,29,12367.9952,2034.0,1345.0
1.0918,37,25780.6777,2477.0,1157.0
1.0687,21,4036.1937,1604.0,1017.0
1.0645,33,7866.9605,2286.0,1179.0
1.0236,4,1097.7946,718.0,482.0
1.0505,22,2956.06,1667.0,1022.0
1.0984,6,1756.1562,801.0,607.0
1.0554,12,1909.8756,1186.0,755.0
1.0135,46,1853.0735,3059.0,1292.0
1.0494,29,4048.4682,2021.0,1171.0
1.0572,40,9253.077,2599.0,1032.0
1.0243,24,1779.3122,1977.0,892.0
1.0926,25,9152.2928,1844.0,1036.0
1.0468,22,2735.2795,1711.0,1019.0
1.0711,4,1316.1945,702.0,486.0
1.081,42,26343.844,2856.0,1170.0
1.0401,22,2374.9371,1659.0,1023.0
1.0185,44,2240.1932,2815.0,1189.0
1.0448,17,2106.5113,1556.0,902.0
1.0751,43,22506.1423,2755.0,1335.0
1.0968,39,36725.7124,2593.0,1427.0
1.0886,22,6472.965,1662.0,1021.0
1.0173,43,2090.7828,2756.0,1309.0
1.0227,23,1675.7525,1706.0,1272.0
1.0379,42,4770.1441,2695.0,1166.0
1.0729,26,6230.7507,1860.0,1061.0
1.0216,46,2672.5182,3030.0,1287.0
1.0944,20,6074.656,1545.0,897.0
1.0603,42,11695.2088,2697.0,1169.0
1.0812,9,2019.0837,985.0,748.0
1.0703,48,26077.456,3151.0,1535.0
1.0997,34,25311.8362,2272.0,1673.0
1.0184,43,2190.2354,3598.0,1346.0
1.0481,24,3087.9148,2139.0,899.0
1.0116,20,1259.4369,1573.0,907.0
1.0262,14,1436.3099,1454.0,894.0
1.0408,50,7385.2326,3860.0,1995.0
1.0538,15,2194.6886,1715.0,1032.0
1.1,10,2593.7425,1223.0,782.0
1.0169,7,1124.4696,893.0,749.0
1.0557,35,6666.8127,2895.0,1673.0
1.0852,34,16118.7995,2930.0,1255.0
1.0134,22,1340.2314,2431.0,1250.0
1.0889,40,30166.1518,4401.0,1694.0
1.0218,25,1714.5394,2664.0,1459.0
1.0239,12,1327.6711,1312.0,786.0
1.0848,50,58544.1933,4150.0,2027.0
1.0662,11,2024.0697,1288.0,914.0
1.0749,3,1241.9502,788.0,507.0
1.047,44,7544.9088,2810.0,1199.0
1.0748,29,8100.3181,2230.0,1172.0
1.065,49,21884.2053,3071.0,1170.0
1.0774,29,8688.2471,2020.0,1168.0
1.0311,16,1632.3474,1555.0,758.0
1.0379,31,3168.2604,2126.0,1259.0
1.0914,13,3117.3915,1175.0,888.0
1.0431,37,4764.9679,2440.0,1303.0
1.0986,30,16795.3029,2070.0,1125.0
1.0792,50,45195.6704,3117.0,1188.0
1.0444,34,4379.9923,2480.0,1051.0
1.0477,11,1669.5767,1069.0,886.0
1.0835,39,22820.6343,2538.0,1284.0
1.0225,17,1459.7429,1403.0,1040.0
1.0147,31,1572.054,2122.0,1266.0
1.0887,36,21315.5246,2405.0,1032.0
1.0941,46,62606.9907,3080.0,1292.0
1.0861,8,1936.237,915.0,615.0
1.0357,49,5577.8244,3073.0,1162.0
1.0244,29,2011.9516,2015.0,1309.0
1.0915,10,2400.1446,1015.0,757.0
1.0848,6,1629.664,797.0,611.0
